"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Marte, Ketel","606466","2024","30","110","126","34","21","8","0","5","21","12",16.7,9.5,".309",".518",".365","0.883",".376",".375",31.2,9.7,52.7,"103.690857826","96.755846522",21,53
"Nimmo, Brandon","607043","2024","31","94","118","20","13","4","1","2","25","20",21.2,16.9,".213",".340",".373","0.713",".335",".418",39.1,8.7,46.4,"101.174886286","95.008018261",23,39.1
"Turner, Trea","607208","2024","31","116","126","40","28","10","0","2","22","9",17.5,7.1,".345",".483",".397","0.880",".390",".355",37.2,7.4,47.9,"100.489277021","94.668307234",21.8,50.1
"Ramírez, José","608070","2024","31","112","116","29","18","5","1","5","13","3",11.2,2.6,".259",".455",".276","0.731",".310",".287",31,8,39,"99.6181684","93.9747428",15.4,53.9
"Bregman, Alex","608324","2024","30","93","104","19","14","5","0","0","13","10",12.5,9.6,".204",".258",".279","0.537",".250",".270",22.2,2.5,34.6,"96.606786341","92.356521481",13.9,41.1
"Gallo, Joey","608336","2024","30","74","91","9","1","5","0","3","43","15",47.3,16.5,".122",".311",".286","0.597",".281",".297",35.5,19.4,38.7,"100.412231875","94.424666774",45.8,39.8
"Seager, Corey","608369","2024","30","97","110","24","20","2","0","2","16","12",14.5,10.9,".247",".330",".336","0.666",".300",".358",35.8,9.9,38.3,"100.084654634","94.153129012",22,54
"Winker, Jesse","608385","2024","30","86","104","25","16","6","0","3","21","13",20.2,12.5,".291",".465",".404","0.869",".388",".365",33.3,9.1,37.9,"99.19283","93.679648333",23.5,40.9
"Meneses, Joey","608841","2024","32","83","95","21","19","2","0","0","20","8",21.1,8.4,".253",".277",".326","0.603",".277",".284",32.3,4.6,43.1,"99.158209091","93.851781077",19.8,50.6
"Swanson, Dansby","621020","2024","30","97","108","23","16","3","1","3","29","9",26.9,8.3,".237",".381",".306","0.687",".307",".332",33.3,10.1,40.6,"99.544242286","93.924926812",31.2,46.1
"Buxton, Byron","621439","2024","30","82","87","20","11","7","1","1","29","1",33.3,1.1,".244",".390",".276","0.666",".293",".244",29.6,5.6,42.6,"100.447001852","94.699128148",38.3,54.5
"Ward, Taylor","621493","2024","30","109","117","30","18","5","0","7","24","7",20.5,6,".275",".514",".316","0.830",".360",".401",47.7,15.1,46.5,"100.987087209","94.850614118",18,48.6
"Olson, Matt","621566","2024","30","95","112","20","8","8","1","3","28","13",25,11.6,".211",".411",".321","0.732",".324",".365",35.3,11.8,57.4,"103.268102647","97.047677313",27,45.8
"Ramírez, Harold","623912","2024","29","98","101","25","23","1","0","1","16","2",15.8,2,".255",".296",".267","0.563",".252",".253",24.1,3.6,30.1,"96.94072525","92.513726625",29.8,58.3
"Santander, Anthony","623993","2024","29","98","109","22","9","8","1","4","18","7",16.5,6.4,".224",".449",".294","0.743",".325",".302",40.7,4.9,32.1,"98.8346435","93.421273875",20.4,54.6
"Alonso, Pete","624413","2024","29","103","114","26","15","3","0","8","22","9",19.3,7.9,".252",".515",".325","0.840",".367",".336",37,12.3,32.5,"99.36088","93.746862375",21.4,46.2
"Conforto, Michael","624424","2024","31","101","107","28","17","6","0","5","24","6",22.4,5.6,".277",".485",".318","0.803",".352",".341",32.5,10.4,46.8,"100.59021","94.649266234",24.5,49.3
"Soler, Jorge","624585","2024","32","99","115","22","13","4","0","5","28","14",24.3,12.2,".222",".414",".322","0.736",".329",".320",29.2,6.9,40.3,"99.605874722","93.844557639",28.8,48.1
"Cronenworth, Jake","630105","2024","30","102","120","26","17","5","1","3","19","12",15.8,10,".255",".412",".339","0.751",".334",".392",38.8,11.8,42.4,"100.629036905","94.576814881",15.9,44.2
"Anderson, Tim","641313","2024","31","90","95","20","18","2","0","0","28","5",29.5,5.3,".222",".244",".263","0.507",".234",".242",27.4,1.6,32.3,"97.461412258","92.730706129",35.2,55.5
"Bellinger, Cody","641355","2024","28","84","97","19","12","1","1","5","15","11",15.5,11.3,".226",".440",".320","0.760",".320",".329",35.7,10,37.1,"99.191493714","93.911839571",26.9,47.7
"Crawford, J.P.","641487","2024","29","86","98","17","13","1","1","2","18","11",18.4,11.2,".198",".302",".296","0.598",".278",".303",19.1,4.4,30.9,"97.686291471","92.972247164",15.3,40.6
"Garver, Mitch","641598","2024","33","73","86","11","5","4","0","2","25","10",29.1,11.6,".151",".288",".267","0.555",".259",".259",30.6,4.1,36.7,"99.4036664","93.875334898",32.1,40.8
"Heim, Jonah","641680","2024","29","85","88","22","16","3","0","3","20","2",22.7,2.3,".259",".400",".284","0.684",".303",".263",29.2,6.2,35.4,"98.310692121","93.294043846",21.3,53.9
"McMahon, Ryan","641857","2024","29","100","118","31","22","5","0","4","32","15",27.1,12.7,".310",".480",".393","0.873",".382",".346",30,12.9,55.7,"103.759354857","96.895430145",31.7,47
"Tellez, Rowdy","642133","2024","29","75","85","14","13","0","0","1","21","8",24.7,9.4,".187",".227",".271","0.498",".237",".304",30.9,5.5,43.6,"101.075227857","94.795502909",26.7,42.2
"Siri, Jose","642350","2024","28","78","90","14","9","4","0","1","40","8",44.4,8.9,".179",".269",".270","0.539",".251",".287",43.6,12.8,46.2,"100.9540825","94.837657692",44.7,46.6
"Rosario, Amed","642708","2024","28","93","96","30","22","5","1","2","13","3",13.5,3.1,".323",".462",".344","0.806",".355",".310",35,7.5,45,"99.804249","93.91451775",18.9,56.2
"Adames, Willy","642715","2024","28","101","116","27","18","6","0","3","24","14",20.7,12.1,".267",".416",".362","0.778",".351",".349",32.5,9.1,44.2,"99.800915128","94.505967403",30.8,46.2
"Estrada, Thairo","642731","2024","28","99","103","23","14","5","1","3","25","3",24.3,2.9,".232",".394",".252","0.646",".281",".267",25.3,5.3,40,"98.580178684","93.410587467",24.3,51.7
"Benintendi, Andrew","643217","2024","29","94","98","18","14","2","0","2","19","4",19.4,4.1,".191",".277",".224","0.501",".226",".285",32,6.7,28,"95.789171892","91.993942603",20.6,47.1
"McNeil, Jeff","643446","2024","32","86","97","21","14","6","0","1","12","8",12.4,8.2,".244",".349",".323","0.672",".306",".309",40,1.3,30.7,"96.181215946","92.152983288",11.3,49.4
"Naylor, Josh","647304","2024","27","95","110","28","15","7","0","6","12","10",10.9,9.1,".295",".558",".373","0.931",".394",".403",36.5,11.8,43.5,"101.697039048","95.112560238",21.6,53.9
"Toro, Abraham","647351","2024","27","82","89","18","12","3","1","2","19","5",21.3,5.6,".220",".354",".281","0.635",".285",".289",31.7,6.3,23.8,"96.971745313","92.564133175",20.6,42.2
"Arraez, Luis","650333","2024","27","113","124","34","28","5","1","0","11","8",8.9,6.5,".301",".363",".358","0.721",".327",".318",44.7,1.9,16.5,"93.968578824","91.039299804",10,48.1
"Torres, Gleyber","650402","2024","27","105","120","22","19","3","0","0","30","11",25,9.2,".210",".238",".294","0.532",".253",".273",33.8,2.6,29.9,"97.482730263","92.917030526",28.7,46.2
"Castro, Willi","650489","2024","27","83","94","19","11","6","0","2","32","8",34,8.5,".229",".373",".309","0.682",".307",".304",48.1,5.8,36.5,"98.9794888","93.5908346",30.4,48.5
"Díaz, Yandy","650490","2024","32","108","119","26","20","5","0","1","18","9",15.1,7.6,".241",".315",".303","0.618",".281",".290",24.2,2.2,50.5,"103.25829913","96.242578242",12.9,45.8
"De La Cruz, Bryan","650559","2024","27","115","121","29","19","5","0","5","34","5",28.1,4.1,".252",".426",".281","0.707",".309",".347",32.9,13.4,43.9,"100.51830561","94.418784146",34.4,53.8
"Chapman, Matt","656305","2024","31","109","116","24","13","7","0","4","28","6",24.1,5.2,".220",".394",".267","0.661",".289",".315",33.3,11.1,49.4,"103.750789756","96.562215679",24.3,49.1
"Hoskins, Rhys","656555","2024","31","92","105","21","11","4","0","6","23","10",21.9,9.5,".228",".467",".314","0.781",".343",".368",34.3,14.3,38.6,"99.690960286","93.937881286",24.2,38.2
"Joe, Connor","656582","2024","31","81","92","24","14","8","0","2","16","10",17.4,10.9,".296",".469",".380","0.849",".378",".311",29.2,9.2,33.8,"97.198804242","92.845553077",20.8,42
"Mullins II, Cedric","656775","2024","29","86","96","20","12","2","0","6","21","6",21.9,6.3,".233",".465",".284","0.749",".325",".311",34.3,9,44.8,"99.127269118","94.072045821",21.1,51.6
"Schwarber, Kyle","656941","2024","31","105","128","20","13","0","0","7","43","20",33.6,15.6,".190",".390",".313","0.703",".315",".341",27.7,13.8,56.9,"105.206237576","97.338260308",37,42.4
"Thomas, Lane","657041","2024","28","87","96","16","14","0","0","2","20","8",20.8,8.3,".184",".253",".250","0.503",".233",".280",32.4,4.4,36.8,"98.211492647","93.171350588",18.2,42.5
"Verdugo, Alex","657077","2024","28","95","114","26","16","6","0","4","9","15",7.9,13.2,".274",".463",".368","0.831",".366",".350",36,4.5,32.6,"96.686337111","92.401349101",12.8,38.7
